silver_domain,silver_table,bronze,erp_key,dimensional_role,reuse_action,snowflake_candidate,grain,row_count_afya,row_count_allos,status,wave,notes
colaborador,employee_access_group,dbo__EmployeeAccessGroup,dbo.EmployeeAccessGroup,FACT,REUSE_AS_FACT,FACT_EMPLOYEE_ACCESS_GROUP,,144,5496,implemented,9,
colaborador,employee_branch,dbo__EmployeeBranch,dbo.EmployeeBranch,DIM,REUSE_AS_DIM,DIM_EMPLOYEE_BRANCH,,184,94,implemented,9,
colaborador,employee_modifier_value,dbo__EmployeeModifierValue,dbo.EmployeeModifierValue,FACT,REUSE_AS_FACT,FACT_EMPLOYEE_MODIFIER_VALUE,,2052,5019,implemented,9,
colaborador,evaluation_discretionary,dbo__EvaluationDiscretionary,dbo.EvaluationDiscretionary,FACT,REUSE_AS_FACT,FACT_EVALUATION_DISCRETIONARY,,4030,3,implemented,9,
colaborador,forum_participante_sucessao,dbo__FORUM_PARTICIPANTE_SUCESSAO,dbo.FORUM_PARTICIPANTE_SUCESSAO,BRIDGE,REUSE_AS_BRIDGE,BRG_FORUM_PARTICIPANTE_SUCESSAO,,1,0,implemented,9,
colaborador,forum_sync_log,dbo__ForumSyncLog,dbo.ForumSyncLog,DEFER,REFINE,,,0,0,implemented,9,
colaborador,goal_attachment,dbo__GoalAttachment,dbo.GoalAttachment,FACT,REUSE_AS_FACT,FACT_GOAL_ATTACHMENT,,170,1518,implemented,9,
colaborador,goal_audit_history,dbo__GoalAuditHistory,dbo.GoalAuditHistory,DEFER,REFINE,,,0,0,implemented,9,
colaborador,goal_book_attachment,dbo__GoalBookAttachment,dbo.GoalBookAttachment,DEFER,REFINE,,,0,0,implemented,9,
colaborador,goal_discussion,dbo__GoalDiscussion,dbo.GoalDiscussion,DIM,REUSE_AS_DIM,DIM_GOAL_DISCUSSION,,16,119,implemented,9,
colaborador,group_of_employees,dbo__GroupOfEmployees,dbo.GroupOfEmployees,DEFER,REFINE,,,0,0,implemented,9,
colaborador,group_of_employees_participants,dbo__GroupOfEmployeesParticipants,dbo.GroupOfEmployeesParticipants,DEFER,REFINE,,,0,0,implemented,9,
colaborador,hobbies,dbo__Hobbies,dbo.Hobbies,DIM,REUSE_AS_DIM,DIM_HOBBIES,,256,110,implemented,9,
colaborador,instancia_calibrados,dbo__INSTANCIA_CALIBRADOS,dbo.INSTANCIA_CALIBRADOS,DEFER,REFINE,,,0,0,implemented,9,
colaborador,instancia_calibrados_performance,dbo__INSTANCIA_CALIBRADOS_PERFORMANCE,dbo.INSTANCIA_CALIBRADOS_PERFORMANCE,DEFER,REFINE,,,0,0,implemented,9,
